Sample_ID,Series_ID
GSM983129,['GSE40000']
GSM983128,['GSE40000']
GSM982436,['GSE40006']
GSM982437,['GSE40006']
GSM982434,['GSE40006']
GSM982420,['GSE40006']
GSM983123,['GSE40000']
GSM983122,['GSE40000']
GSM983121,['GSE40000']
GSM983120,['GSE40000']
GSM983127,['GSE40000']
GSM983126,['GSE40000']
GSM983125,['GSE40000']
GSM983124,['GSE40000']
GSM982422,['GSE40006']
GSM982425,['GSE40006']
GSM982499,['GSE40006']
GSM983217,['GSE40005']
GSM982427,['GSE40006']
GSM982396,['GSE40006']
GSM982426,['GSE40006']
GSM983219,['GSE40005']
GSM983218,['GSE40005']
GSM983198,['GSE40004']
GSM983199,['GSE40004']
GSM983196,['GSE40004']
GSM983197,['GSE40004']
GSM983194,['GSE40004']
GSM983195,['GSE40004']
GSM983192,['GSE40003']
GSM983193,['GSE40003']
GSM983190,['GSE40003']
GSM983191,['GSE40003']
GSM982407,['GSE40006']
GSM982406,['GSE40006']
GSM982405,['GSE40006']
GSM982404,['GSE40006']
GSM983138,['GSE40001']
GSM983139,['GSE40001']
GSM982401,['GSE40006']
GSM982400,['GSE40006']
GSM983134,['GSE40000']
GSM983135,['GSE40000']
GSM983136,['GSE40001']
GSM983137,['GSE40001']
GSM983130,['GSE40000']
GSM983131,['GSE40000']
GSM983132,['GSE40000']
GSM983133,['GSE40000']
GSM982506,['GSE40006']
GSM982489,['GSE40006']
GSM982488,['GSE40006']
GSM982487,['GSE40006']
GSM982486,['GSE40006']
GSM982485,['GSE40006']
GSM982431,['GSE40006']
GSM982483,['GSE40006']
GSM982462,['GSE40006']
GSM982481,['GSE40006']
GSM982480,['GSE40006']
GSM982507,['GSE40006']
GSM983208,['GSE40004']
GSM983209,['GSE40004']
GSM983206,['GSE40004']
GSM983207,['GSE40004']
GSM983204,['GSE40004']
GSM983205,['GSE40004']
GSM983202,['GSE40004']
GSM983203,['GSE40004']
GSM983200,['GSE40004']
GSM983201,['GSE40004']
